"PVWatts Hourly PV Performance Data"
"Requested Location","fairhope, AL"
"Solar Resource Data Location","NSRDB Lat/Lng: 30.53, -87.90"
"Latitude (degrees)", 30.53
"Longitude (degrees)", -87.90
"Elevation (m)","25.533332824707"
"DC System Size (kW)","1034"
"Module Type","Thin Film"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","25","10","539","349","24","3.9","0.1","866.847","39.525","717491.843","687969.931"
"4","25","11","512","394","24","3.9","0.1","915.972","40.392","753230.038","722441.779"
"4","25","12","464","396","25","3.9","0.1","863.908","40.459","710397.506","681126.974"
"4","25","13","548","327","24","3.8","0.1","833.633","39.158","692281.482","663652.873"
"4","25","14","448","293","24","3.5","0.1","643.155","36.255","542134.258","518825.962"
"4","25","15","646","161","23","3.3","0.1","545.807","33.773","470372.729","449607.229"
"4","25","16","459","123","22","3.1","0.1","289.026","27.854","244227.414","231475.142"
"4","25","17","0","18","22","3","0.1","16.649","22.344","13022.429","8462.669"
"4","25","18","0","0","21","3","0.1","0","21","0","0"
"4","25","19","0","0","21","2.9","0.1","0","21","0","0"
"4","25","20","0","0","21","2.8","0.1","0","21","0","0"
"4","25","21","0","0","21","2.9","0.1","0","21","0","0"
"4","25","22","0","0","21","3.2","0.1","0","21","0","0"
"4","25","23","0","0","21","3.4","0.1","0","21","0","0"
"4","26","0","0","0","21","3.7","0.1","0","21","0","0"
"4","26","1","0","0","21","3.8","0.1","0","21","0","0"
"4","26","2","0","0","21","3.7","0.1","0","21","0","0"
"4","26","3","0","0","21","3.6","0.1","0","21","0","0"
"4","26","4","0","0","21","3.6","0.1","0","21","0","0"
"4","26","5","0","8","21","3.8","0.1","7.395","21.116","3484.279","0"
"4","26","6","0","52","22","4","0.1","48.218","22.855","39892.309","34380.442"
"4","26","7","0","41","22","4.4","0.1","38.01","22.636","30939.472","25744.84"
"4","26","8","0","157","23","4.7","0.1","146.411","25.347","122725.713","114278.73"
"4","26","9","0","31","24","4.7","0.1","28.815","24.461","22470.624","17576.077"
"4","26","10","0","135","24","4.6","0.1","126.201","26.042","103365.358","95604.389"
"4","26","11","12","240","25","4.3","0.1","237.905","29.008","196745.587","185675.785"
"4","26","12","504","391","25","4","0.1","897.833","40.837","737528.758","707296.858"
"4","26","13","820","157","25","3.9","0.1","911.459","41.354","754973.224","724123.197"
"4","26","14","802","140","24","3.7","0.1","768.103","38.22","647898.487","620842.544"
"4","26","15","756","118","24","3.5","0.1","568.258","34.874","489144.815","467714.146"
"4","26","16","652","94","23","3","0.1","334.08","29.872","279855.92","265841.188"
"4","26","17","413","58","22","2.5","0.1","105.242","24.226","69906.261","63330.881"
"4","26","18","0","0","20","2.3","0.1","0","20","0","0"
"4","26","19","0","0","19","2.3","0.1","0","19","0","0"
"4","26","20","0","0","19","2.4","0.1","0","19","0","0"
"4","26","21","0","0","18","2.5","0.1","0","18","0","0"
"4","26","22","0","0","18","2.6","0.1","0","18","0","0"
"4","26","23","0","0","17","2.6","0.1","0","17","0","0"
"4","27","0","0","0","17","2.6","0.1","0","17","0","0"
"4","27","1","0","0","16","2.6","0.1","0","16","0","0"
"4","27","2","0","0","16","2.6","0.1","0","16","0","0"
"4","27","3","0","0","15","2.5","0.1","0","15","0","0"
"4","27","4","0","0","15","2.4","0.1","0","15","0","0"
"4","27","5","109","20","16","2.2","0.1","15.309","16.314","7626.371","3257.815"
"4","27","6","542","71","18","2","0.1","184.136","22.42","138914.498","129893.882"
"4","27","7","723","97","20","1.9","0.1","424.954","30.799","366531.777","349445.775"
"4","27","8","808","118","21","2.1","0.1","657.556","37.062","560290.601","536338.954"
"4","27","9","856","132","21","2.3","0.1","849.268","40.911","707918.325","678735.64"
"4","27","10","880","141","22","2.6","0.1","974.471","43.583","799736.049","767299.898"
"4","27","11","588","356","22","2.9","0.1","953.437","41.99","780433.35","748681.17"
"4","27","12","414","409","23","2.9","0.1","825.998","40.306","678994.623","650836.82"
"4","27","13","274","425","23","2.9","0.1","673.561","37.113","559788.573","535854.714"
"4","27","14","160","366","24","2.8","0.1","480.067","34.243","402993.676","384615.684"
"4","27","15","322","248","23","2.7","0.1","431.386","32.404","369563.486","352370.058"
"4","27","16","487","119","22","2.4","0.1","295.161","28.76","248478.928","235576.008"
"4","27","17","350","63","21","2","0.1","100.813","23.37","69136.854","62588.736"
"4","27","18","0","0","20","1.9","0.1","0","20","0","0"
"4","27","19","0","0","19","2.1","0.1","0","19","0","0"
"4","27","20","0","0","19","2.2","0.1","0","19","0","0"
"4","27","21","0","0","18","2.4","0.1","0","18","0","0"
"4","27","22","0","0","17","2.5","0.1","0","17","0","0"
"4","27","23","0","0","17","2.4","0.1","0","17","0","0"
"4","28","0","0","0","17","2.3","0.1","0","17","0","0"
"4","28","1","0","0","16","2.1","0.1","0","16","0","0"
"4","28","2","0","0","16","2","0.1","0","16","0","0"
"4","28","3","0","0","16","1.9","0.1","0","16","0","0"
"4","28","4","0","0","15","1.9","0.1","0","15","0","0"
"4","28","5","0","6","15","2.1","0.1","5.543","15.116","2649.411","0"
"4","28","6","55","102","17","2","0.1","105.611","19.616","89053.415","81799.575"
"4","28","7","290","190","19","1.9","0.1","313.724","26.968","271820.855","258090.837"
"4","28","8","654","170","21","1.8","0.1","607.454","36.766","516413.431","494016.526"
"4","28","9","623","253","23","1.4","0.1","776.677","44.959","635599.272","608979.139"
"4","28","10","839","159","24","1.1","0.1","959.313","53.128","760559.423","729511.455"
"4","28","11","853","162","25","1","0.1","1021.208","56.777","796572.341","764248.292"
"4","28","12","867","149","25","1.1","0.1","1004.785","55.499","788370.66","756337.23"
"4","28","13","845","147","26","1.4","0.1","922.97","52.099","736046.869","705867.478"
"4","28","14","802","138","26","1.6","0.1","765.047","46.712","626373.821","600080.582"
"4","28","15","730","124","25","1.7","0.1","558.053","39.818","471822.547","451005.674"
"4","28","16","604","100","24","1.6","0.1","321.76","32.66","266887.16","253331.963"
"4","28","17","352","63","23","1.4","0.1","101.045","25.704","68675.449","62143.681"
"4","28","18","0","0","21","1.4","0.1","0","21","0","0"
"4","28","19","0","0","21","1.4","0.1","0","21","0","0"
"4","28","20","0","0","20","1.6","0.1","0","20","0","0"
"4","28","21","0","0","20","2","0.1","0","20","0","0"
"4","28","22","0","0","19","2.2","0.1","0","19","0","0"
"4","28","23","0","0","19","2.3","0.1","0","19","0","0"
"4","29","0","0","0","19","2.3","0.1","0","19","0","0"
"4","29","1","0","0","18","2.3","0.1","0","18","0","0"
"4","29","2","0","0","18","2.2","0.1","0","18","0","0"
"4","29","3","0","0","17","2.1","0.1","0","17","0","0"
"4","29","4","0","0","17","2","0.1","0","17","0","0"
"4","29","5","51","21","18","2.1","0.1","17.198","18.359","8537.154","4136.325"
"4","29","6","412","93","19","2.1","0.1","176.264","23.184","136835.028","127888.095"
"4","29","7","620","129","21","2","0.1","410.205","31.212","352946.02","336341.415"
"4","29","8","740","148","24","1.8","0.1","643.06","40.695","540128.712","516891.481"
"4","29","9","812","157","25","1.5","0.1","837.519","48.167","679885.036","651695.682"
"4","29","10","857","158","26","1.4","0.1","974.978","53.558","771638.086","740197.557"
"4","29","11","879","156","26","1.4","0.1","1033.129","55.188","810699.272","777874.649"
"4","29","12","614","334","27","1.5","0.1","948.408","53.159","746889.354","716325.771"
"4","29","13","849","154","27","1.6","0.1","932.948","52.218","743449.731","713008.027"
"4","29","14","808","143","27","1.7","0.1","774.083","47.504","631861.585","605373.893"
"4","29","15","737","127","26","1.8","0.1","564.744","40.678","476021.287","455055.636"
"4","29","16","612","103","25","1.6","0.1","327.399","33.812","270581.176","256895.086"
"4","29","17","364","64","23","1.4","0.1","103.448","25.767","70227.474","63640.712"
"4","29","18","0","0","22","1.4","0.1","0","22","0","0"
"4","29","19","0","0","22","1.3","0.1","0","22","0","0"
"4","29","20","0","0","22","1.2","0.1","0","22","0","0"
"4","29","21","0","0","21","1.1","0.1","0","21","0","0"
"4","29","22","0","0","21","1","0.1","0","21","0","0"
"4","29","23","0","0","20","1","0.1","0","20","0","0"
"4","30","0","0","0","20","1.2","0.1","0","20","0","0"
"4","30","1","0","0","19","1.3","0.1","0","19","0","0"
"4","30","2","0","0","18","1.3","0.1","0","18","0","0"
"4","30","3","0","0","18","1.3","0.1","0","18","0","0"
"4","30","4","0","0","18","1.4","0.1","0","18","0","0"
"4","30","5","99","23","18","1.5","0.1","18.755","18.445","9343.444","4914.045"
"4","30","6","504","78","20","1.5","0.1","184.184","24.937","139542.153","130499.296"
"4","30","7","694","107","22","1.2","0.1","423.015","34.567","360144.329","343284.66"
"4","30","8","795","124","25","0.8","0.1","655.643","46.577","539931.265","516701.03"
"4","30","9","852","136","26","0.5","0.1","849.853","56.344","670051.616","642210.7"
"4","30","10","881","143","27","0.5","0.1","976.511","61.824","749861.575","719192.674"
"4","30","11","892","146","28","0.7","0.1","1035.976","62.897","790034.493","757942.106"
"4","30","12","888","145","28","1.1","0.1","1020.387","58.973","790249.592","758149.584"
"4","30","13","865","142","28","1.4","0.1","929.713","54.291","735613.559","705449.522"
"4","30","14","823","134","27","1.7","0.1","776.259","47.563","633650.969","607099.872"
"4","30","15","738","126","26","1.9","0.1","563.968","40.355","475868.282","454908.053"
"4","30","16","610","104","25","2.2","0.1","327.451","32.785","271602.236","257879.965"
"4","30","17","362","65","23","2.5","0.1","104.095","25.223","71050.586","64434.658"
"4","30","18","43","7","18.9","3.4","0.08","0","18.9","0","0"
"4","30","19","0","0","18.1","3.3","0.08","0","18.1","0","0"
"4","30","20","0","0","17.4","3.1","0.08","0","17.4","0","0"
"4","30","21","0","0","16.7","2.9","0.08","0","16.7","0","0"
"4","30","22","0","0","16","2.8","0.08","0","16","0","0"
"4","30","23","0","0","15.3","2.6","0.08","0","15.3","0","0"
"5","1","0","0","0","14.7","2.4","0.08","0","14.7","0","0"
"5","1","1","0","0","14.4","2.2","0.08","0","14.4","0","0"
"5","1","2","0","0","14.2","2.1","0.08","0","14.2","0","0"
"5","1","3","0","0","14.1","2","0.08","0","14.1","0","0"
"5","1","4","0","0","14.2","1.9","0.08","0","14.2","0","0"
"5","1","5","242","27","15.3","1.7","0.08","21.815","15.795","11066.924","6576.455"
"5","1","6","635","64","17","1.4","0.08","200.141","22.454","150103.214","140686.137"
"5","1","7","799","82","19.2","1.2","0.08","447.344","32.492","384244.2","366530.576"
"5","1","8","883","95","21.4","1","0.08","683.802","42.768","571684.619","547329.236"
"5","1","9","924","104","22.6","0.9","0.08","874.004","50.565","704522.511","675460.154"
"5","1","10","944","113","23.3","0.6","0.08","1005.977","58.169","783547.899","751685.358"
"5","1","11","951","116","23.9","0.4","0.08","1064.652","62.991","811951.854","779082.848"
"5","1","12","946","116","24.3","0.4","0.08","1048.212","62.792","800591.299","768124.842"
"5","1","13","925","114","24.4","0.7","0.08","955.904","56.635","750316.924","719631.889"
"5","1","14","887","109","24.2","1.1","0.08","797.386","48.465","649466.863","622355.346"
"5","1","15","823","98","24.1","1.4","0.08","586.002","40.74","494724.334","473095.961"
"5","1","16","715","82","23.8","1.6","0.08","344.752","33.072","285162.034","270959.286"
"5","1","17","365","62","23.3","1.7","0.08","101.793","25.844","68802.814","62266.533"
"5","1","18","34","6","20.3","2.2","0.08","5.708","20.417","2666.261","0"
"5","1","19","0","0","19.2","2.4","0.08","0","19.2","0","0"
"5","1","20","0","0","18.6","2.5","0.08","0","18.6","0","0"
"5","1","21","0","0","18.3","2.7","0.08","0","18.3","0","0"
"5","1","22","0","0","18","2.7","0.08","0","18","0","0"
"5","1","23","0","0","17.6","2.5","0.08","0","17.6","0","0"
"5","2","0","0","0","17.3","2.1","0.08","0","17.3","0","0"
"5","2","1","0","0","17.4","1.6","0.08","0","17.4","0","0"
"5","2","2","0","0","17.4","1.4","0.08","0","17.4","0","0"
"5","2","3","0","0","17.2","1.4","0.08","0","17.2","0","0"
"5","2","4","0","0","17.2","1.3","0.08","0","17.2","0","0"
"5","2","5","218","28","18","1.1","0.08","21.493","18.582","11825.148","7307.813"
"5","2","6","593","68","19.6","0.9","0.08","195.254","25.627","145815.712","136550.558"
"5","2","7","756","91","21.5","1.1","0.08","437.034","34.806","372195.483","354908.794"
"5","2","8","843","105","23.2","1.6","0.08","668.793","41.335","561524.268","537528.907"
"5","2","9","707","207","24.2","1.9","0.08","800.93","44.514","657392.342","629999.994"
"5","2","10","901","129","24.8","2.1","0.08","980.765","48.677","790561.872","758450.798"
"5","2","11","926","124","25.2","2.2","0.08","1047.061","50.183","837084.455","803324.901"
"5","2","12","922","123","25.3","2.3","0.08","1030.86","49.43","826965.79","793564.78"
"5","2","13","903","119","25.2","2.4","0.08","940.273","46.815","764651.34","733458.379"
"5","2","14","728","174","24.8","2.5","0.08","742.292","41.565","617843.321","591852.352"
"5","2","15","806","102","24.1","2.6","0.08","579.626","36.994","495550.066","473892.433"
"5","2","16","698","84","23.1","2.6","0.08","340.302","30.601","283900.587","269742.537"
"5","2","17","479","56","22.5","2.6","0.08","111.716","24.804","72604.326","65933.342"
"5","2","18","34","6","20.5","2.5","0.08","5.708","20.611","2663.773","0"
"5","2","19","0","0","20","2.6","0.08","0","20","0","0"
"5","2","20","0","0","19.7","2.6","0.08","0","19.7","0","0"
"5","2","21","0","0","19.4","2.6","0.08","0","19.4","0","0"
"5","2","22","0","0","19","2.5","0.08","0","19","0","0"
"5","2","23","0","0","18.8","2.4","0.08","0","18.8","0","0"
"5","3","0","0","0","18.6","2.3","0.08","0","18.6","0","0"
"5","3","1","0","0","18.4","2.1","0.08","0","18.4","0","0"
"5","3","2","0","0","18.3","2","0.08","0","18.3","0","0"
"5","3","3","0","0","18.3","1.9","0.08","0","18.3","0","0"
"5","3","4","0","0","18.6","1.8","0.08","0","18.6","0","0"
"5","3","5","105","28","19.8","1.5","0.08","22.606","20.371","13260.634","8692.433"
"5","3","6","122","91","21.3","1.3","0.08","111.099","24.486","89876.563","82593.555"
"5","3","7","365","181","22.4","1.3","0.08","339.708","32.25","289680.073","275317.232"
"5","3","8","831","105","23.4","1.5","0.08","660.965","41.726","554059.046","530328.208"
"5","3","9","902","104","24.2","1.8","0.08","855.573","46.377","699964.33","671063.487"
"5","3","10","928","109","24.8","2.2","0.08","986.246","48.346","796221.355","763909.743"
"5","3","11","938","110","25.1","2.6","0.08","1044.738","48.23","841318.479","807408.897"
"5","3","12","935","109","25.2","3","0.08","1029.271","46.456","834697.665","801022.684"
"5","3","13","919","106","25","3.2","0.08","941.372","43.822","773850.209","742331.295"
"5","3","14","886","99","24.7","3.2","0.08","785.787","40.436","658464.414","631034.078"
"5","3","15","830","89","24.1","3.1","0.08","580.52","35.946","498361.174","476603.933"
"5","3","16","729","75","23.4","2.9","0.08","343.889","30.589","286667.561","272411.466"
"5","3","17","519","52","22.9","2.8","0.08","113.151","25.137","71995.973","65346.546"
"5","3","18","43","6","21","2.5","0.08","5.708","21.111","2657.345","0"
"5","3","19","0","0","20.5","2.6","0.08","0","20.5","0","0"
"5","3","20","0","0","20.1","2.7","0.08","0","20.1","0","0"
"5","3","21","0","0","19.9","2.7","0.08","0","19.9","0","0"
"5","3","22","0","0","19.8","2.8","0.08","0","19.8","0","0"
"5","3","23","0","0","19.7","2.9","0.08","0","19.7","0","0"
"5","4","0","0","0","19.6","2.9","0.08","0","19.6","0","0"
"5","4","1","0","0","19.5","2.9","0.08","0","19.5","0","0"
"5","4","2","0","0","19.3","2.7","0.08","0","19.3","0","0"
"5","4","3","0","0","19.1","2.4","0.08","0","19.1","0","0"
"5","4","4","0","0","19.1","2.1","0.08","0","19.1","0","0"
"5","4","5","218","30","20.2","1.7","0.08","22.985","20.766","14196.453","9595.093"
"5","4","6","590","70","21.9","1.3","0.08","197.487","27.427","147162.86","137849.971"
"5","4","7","753","90","23.1","0.8","0.08","435.456","37.422","367480.145","350360.539"
"5","4","8","848","100","24.1","0.5","0.08","666.025","47.933","546230.275","522776.841"
"5","4","9","906","103","25","0.9","0.08","857.759","52.443","686599.058","658171.8"
"5","4","10","931","106","25.7","1.6","0.08","985.72","52.343","784479.985","752584.416"
"5","4","11","937","110","26.1","2.3","0.08","1043.174","50.517","833205.063","799582.971"
"5","4","12","928","114","26.1","2.7","0.08","1026.676","48.429","826683.792","793292.775"
"5","4","13","911","111","25.9","2.9","0.08","938.466","45.627","766466.81","735209.52"
"5","4","14","878","104","25.5","3","0.08","784.085","41.729","653937.207","626667.288"
"5","4","15","821","93","25","2.8","0.08","578.914","37.43","494285.874","472673.037"
"5","4","16","718","79","24.2","2.6","0.08","343.654","31.774","285390.734","271179.882"
"5","4","17","505","55","23.7","2.5","0.08","114.254","26.093","73338.568","66641.568"
"5","4","18","48","8","21.8","2.1","0.08","7.61","21.959","3579.26","0"
"5","4","19","0","0","21.3","2.2","0.08","0","21.3","0","0"
"5","4","20","0","0","20.9","2.3","0.08","0","20.9","0","0"
"5","4","21","0","0","20.7","2.5","0.08","0","20.7","0","0"
"5","4","22","0","0","20.5","2.7","0.08","0","20.5","0","0"
"5","4","23","0","0","20.4","2.9","0.08","0","20.4","0","0"
"5","5","0","0","0","20.4","3","0.08","0","20.4","0","0"
"5","5","1","0","0","20.5","3","0.08","0","20.5","0","0"
"5","5","2","0","0","20.4","2.8","0.08","0","20.4","0","0"
"5","5","3","0","0","20.2","2.5","0.08","0","20.2","0","0"
"5","5","4","0","0","20.4","2.3","0.08","0","20.4","0","0"
"5","5","5","208","31","21.4","2.1","0.08","23.731","21.945","15205.756","10568.632"
"5","5","6","354","73","22.7","2.2","0.08","147.045","26.123","112250.309","104174.51"
"5","5","7","742","93","23.7","2.2","0.08","433.668","34.079","370229.286","353012.266"
"5","5","8","838","103","24.6","2.3","0.08","663.782","40.194","559334.588","535416.816"
"5","5","9","901","105","25.5","2.3","0.08","855.41","45.556","701717.384","672754.424"
"5","5","10","928","109","26.2","2.3","0.08","985.436","49.277","792832.932","760641.385"
"5","5","11","934","114","26.8","2.4","0.08","1043.523","50.767","832607.361","799006.448"
"5","5","12","922","119","27.1","2.3","0.08","1025.032","51.093","817410.994","784348.549"
"5","5","13","901","118","27.3","2.2","0.08","935.687","49.645","753204.807","722417.442"
"5","5","14","861","113","27.1","2","0.08","779.341","46.494","638934.811","612196.486"
"5","5","15","682","140","26.8","1.9","0.08","542.781","40.612","456781.963","436498.039"
"5","5","16","669","90","26.2","2","0.08","335.109","34.485","275830.969","261958.858"
"5","5","17","442","61","25.8","2","0.08","111.88","28.407","73474.85","66773.02"
"5","5","18","26","7","23.2","2.5","0.08","6.659","23.329","3090.817","0"
"5","5","19","0","0","22.7","2.6","0.08","0","22.7","0","0"
"5","5","20","0","0","22.6","2.6","0.08","0","22.6","0","0"
"5","5","21","0","0","22.8","2.6","0.08","0","22.8","0","0"
"5","5","22","0","0","23","2.5","0.08","0","23","0","0"
"5","5","23","0","0","23","2.2","0.08","0","23","0","0"
"5","6","0","0","0","22.6","2.8","0.08","0","22.6","0","0"
"5","6","1","0","0","21.5","4.6","0.08","0","21.5","0","0"
"5","6","2","0","0","20","5.5","0.08","0","20","0","0"
"5","6","3","0","0","18.8","5","0.08","0","18.8","0","0"
"5","6","4","0","0","18.5","4.2","0.08","0","18.5","0","0"
"5","6","5","163","31","19.2","3.9","0.08","23.658","19.604","15801.538","11143.303"
"5","6","6","355","86","20.8","3.9","0.08","159.39","23.595","124288.925","115786.551"
"5","6","7","758","96","22.4","4.1","0.08","444.194","30.162","384518.505","366795.162"
"5","6","8","859","106","23.5","4.1","0.08","680.75","35.404","583160.424","558398.408"
"5","6","9","910","114","24.4","3.9","0.08","871.495","40.053","728454.995","698544.614"
"5","6","10","935","121","25.1","3.8","0.08","1003.325","43.366","823745.24","790458.348"
"5","6","11","944","124","25.7","3.8","0.08","1062.567","45.035","864715.38","829976.752"
"5","6","12","938","123","26","3.9","0.08","1043.944","44.721","851176.587","816917.693"
"5","6","13","915","120","26","4","0.08","949.701","42.798","782996.296","751153.3"
"5","6","14","872","114","25.7","4","0.08","788.34","39.665","661895.645","634343.727"
"5","6","15","801","106","25.2","4.1","0.08","579.441","35.342","497924.347","476182.584"
"5","6","16","687","90","24.3","4","0.08","341.691","30.313","285455.125","271241.992"
"5","6","17","470","61","23.7","3.8","0.08","115.577","25.669","76216.783","69417.796"
"5","6","18","43","8","21.1","3.4","0.08","7.61","21.226","3591.69","0"
"5","6","19","0","0","20.2","3.3","0.08","0","20.2","0","0"
"5","6","20","0","0","19.2","3.5","0.08","0","19.2","0","0"
"5","6","21","0","0","18.3","3.7","0.08","0","18.3","0","0"
"5","6","22","0","0","17.4","4.1","0.08","0","17.4","0","0"
"5","6","23","0","0","16.6","4.4","0.08","0","16.6","0","0"
"5","7","0","0","0","15.7","4.3","0.08","0","15.7","0","0"
"5","7","1","0","0","15","4.1","0.08","0","15","0","0"
"5","7","2","0","0","14.3","3.8","0.08","0","14.3","0","0"
"5","7","3","0","0","13.7","3.7","0.08","0","13.7","0","0"
